Authors,Author(s) ID,Title,Faculty,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID
"Khudzaifi M., Retno S.S., Rohman A.",57214226954;57189334521;32668020600;,The employment of FTIR spectroscopy and chemometrics for authentication of essential oil of curcuma mangga from candle nut oil,Farmasi,2020,Food Research,4,2,,515,521,,1,10.26656/fr.2017.4(2).313,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078485361&doi=10.26656%2ffr.2017.4%282%29.313&partnerID=40&md5=3b601b39ae7e8aed1f40e8f13165c52f,"Faculty of Pharmacy, Gadjah Mada University, Yogyakarta, Indonesia; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, Indonesia; Institute of Halal Industry and Systems, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia","Khudzaifi, M., Faculty of Pharmacy, Gadjah Mada University, Yogyakarta, Indonesia; Retno, S.S., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, Indonesia; Rohman, A., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Yogyakarta, Indonesia, Institute of Halal Industry and Systems, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85078485361
"Anugratama L.E., Hartatik T.",57214234342;6505863692;,Short communication: Identification of leptin gene in crossbred beef cattle,Peternakan,2020,Biodiversitas,21,1,,226,230,,,10.13057/biodiv/d210129,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078462491&doi=10.13057%2fbiodiv%2fd210129&partnerID=40&md5=dde0221871ac107592bb426de3f86359,"Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Jl. Fauna No. 03, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia","Anugratama, L.E., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Jl. Fauna No. 03, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Hartatik, T., Department of Animal Breeding and Reproduction, Faculty of Animal Science, Universitas Gadjah Mada, Jl. Fauna No. 03, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85078462491
"Salsinha Y.C.F., Indradewa D., Purwestri Y.A., Rachmawati D.",57214230582;56604176900;26423296500;8644527700;,"Selection of drought-tolerant local rice cultivars from east nusa tenggara, Indonesia during vegetative stage",Biologi,2020,Biodiversitas,21,1,,170,178,,,10.13057/biodiv/d210122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078417549&doi=10.13057%2fbiodiv%2fd210122&partnerID=40&md5=4a80f429eba4a690ba60e64dc5a512d6,"Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Research Center for Biotechnology, Universitas Gadjah Mada, Jl. Teknika Utara, Barek, Sleman, Yogyakarta, 55281, Indonesia","Salsinha, Y.C.F., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Indradewa, D., Department of Agronomy, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Purwestri, Y.A., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia, Research Center for Biotechnology, Universitas Gadjah Mada, Jl. Teknika Utara, Barek, Sleman, Yogyakarta, 55281, Indonesia; Rachmawati, D., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85078417549
"Djoko Rianto B.U., Wibowo A.S., Herdini C.",35621609800;57214138853;45661338500;,The difference in thyroid stimulating hormone levels between differentiated carcinoma and benign enlargement,Kedokteran,2020,International Archives of Otorhinolaryngology,24,1,,E73,E79,,,10.1055/s-0039-1692406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078243058&doi=10.1055%2fs-0039-1692406&partnerID=40&md5=016cd46fcc9fb63bfa12dc9c3a1bd5e4,"Ear Nose Throat Head and Head Neck Surgery Department, Faculty of Medicine, Universitas Gadjah Mada, Dr. Sardjito GH Yogyakarta, Indonesia","Djoko Rianto, B.U., Ear Nose Throat Head and Head Neck Surgery Department, Faculty of Medicine, Universitas Gadjah Mada, Dr. Sardjito GH Yogyakarta, Indonesia; Wibowo, A.S., Ear Nose Throat Head and Head Neck Surgery Department, Faculty of Medicine, Universitas Gadjah Mada, Dr. Sardjito GH Yogyakarta, Indonesia; Herdini, C., Ear Nose Throat Head and Head Neck Surgery Department, Faculty of Medicine, Universitas Gadjah Mada, Dr. Sardjito GH Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85078243058
"Dinarti L.K., Hartopo A.B., Anggrahini D.W., Sadewa A.H., Setianto B.Y., Wahab A.S.",57192908812;36056281100;35285645700;6506553494;36469084300;57208927648;,"Profile of Endothelin-1, Nitric Oxide, and Prostacyclin Levels in Pulmonary Arterial Hypertension Related to Uncorrected Atrial Septal Defect: Results from a Single Center Study in Indonesia",Kedokteran,2020,Cardiology Research and Practice,2020,,7526508,,,,2,10.1155/2020/7526508,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078179266&doi=10.1155%2f2020%2f7526508&partnerID=40&md5=a80945d960b5a3e7bd33f9a5873a0f4f,"Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia; Department of Biochemistry, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Child Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia","Dinarti, L.K., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia; Hartopo, A.B., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia; Anggrahini, D.W., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia; Sadewa, A.H., Department of Biochemistry, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada, Yogyakarta, Indonesia; Setianto, B.Y., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia; Wahab, A.S., Department of Cardiology and Vascular Medicine, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia, Department of Child Health, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada-Dr. Sardjito Hospital, Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85078179266
"Abduh A.M., Hanudin E., Purwanto B.H., Utami S.N.H.",57213603496;57196062767;6507171824;55513894400;,Effect of plant spacing and organic fertilizer doses on methane emission in organic rice fields,Pertanian,2020,Environment and Natural Resources Journal,18,1,,66,74,,1,10.32526/ennrj.18.1.2020.07,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077872061&doi=10.32526%2fennrj.18.1.2020.07&partnerID=40&md5=162d4fc82504117e0e9c112ed216a19f,"Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia","Abduh, A.M., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Hanudin, E., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Purwanto, B.H., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Utami, S.N.H., Department of Soil Science, Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077872061
"Susanthy D., Santosa S.J., Kunarti E.S.",57188703192;6701602150;23767229000;,Antibacterial activity of silver nanoparticles capped by p-aminobenzoic acid on Escherichia coli and Staphylococcus aureus,MIPA,2020,Indonesian Journal of Chemistry,20,1,,182,189,,1,10.22146/ijc.44652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077865794&doi=10.22146%2fijc.44652&partnerID=40&md5=c8fb8b365b986862afe15cc35f2ba3a2,"Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia","Susanthy, D., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia; Santosa, S.J., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia; Kunarti, E.S., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077865794
"Fahmi Z., Mudasir, Rohman A.",57213607753;55665437700;32668020600;,Attenuated total reflectance-FTIR spectra combined with multivariate calibration and discrimination analysis for analysis of patchouli oil adulteration,MIPA,2020,Indonesian Journal of Chemistry,20,1,,1,8,,,10.22146/ijc.36955,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077862265&doi=10.22146%2fijc.36955&partnerID=40&md5=d210fcc309df50ca4f6431a765e9ca1b,"Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia; Institute of Halal Industry and Systems, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia","Fahmi, Z., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia; Mudasir, Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia; Rohman, A., Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia, Institute of Halal Industry and Systems, Universitas Gadjah Mada, Sekip Utara, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077862265
"Haryono N.Y., Haryadi W., Raharjo T.J.",57190034558;55532916200;6507438336;,Overexpression of lipase gene from Alcaligenes sp. JG3 and its activity toward hydrolysis reaction,MIPA,2020,Indonesian Journal of Chemistry,20,1,,200,209,,,10.22146/ijc.45663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077851161&doi=10.22146%2fijc.45663&partnerID=40&md5=5433ef234e0bddf9f7ab06c48684de3b,"Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia","Haryono, N.Y., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia; Haryadi, W., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia; Raharjo, T.J., Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Sekip Utara BLS 21, Bulaksumur, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077851161
"Suranindyah Y.Y., Rochijan, Widyobroto B.P., Astuti S.D.",36807116900;57115560300;57115471200;57207890323;,Impact of extended lactation on fatty acid profile and milk composition of dual purpose tropical goat,Peternakan,2020,Pakistan Journal of Biological Sciences,23,2,,113,118,,,10.3923/pjbs.2020.113.118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077693746&doi=10.3923%2fpjbs.2020.113.118&partnerID=40&md5=ca37c498519d3ac8876c9c60a142b976,"Department of Animal Production, Faculty of Animal Science, Universitas Gadjah Mada, Jalan Fauna No. 3, Bulaksumur, Yogyakarta, 55281, Indonesia","Suranindyah, Y.Y., Department of Animal Production, Faculty of Animal Science, Universitas Gadjah Mada, Jalan Fauna No. 3, Bulaksumur, Yogyakarta, 55281, Indonesia; Rochijan, Department of Animal Production, Faculty of Animal Science, Universitas Gadjah Mada, Jalan Fauna No. 3, Bulaksumur, Yogyakarta, 55281, Indonesia; Widyobroto, B.P., Department of Animal Production, Faculty of Animal Science, Universitas Gadjah Mada, Jalan Fauna No. 3, Bulaksumur, Yogyakarta, 55281, Indonesia; Astuti, S.D., Department of Animal Production, Faculty of Animal Science, Universitas Gadjah Mada, Jalan Fauna No. 3, Bulaksumur, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077693746
"Dianita O., Djorgie T., Herliansyah M.K.",57205101267;57212931535;23469293700;,Improvement of Production Layout in the Furniture Industry in Indonesia with the Concept of Group Technology,Teknik,2020,Advances in Intelligent Systems and Computing,1121 AISC,,,304,310,,,10.1007/978-3-030-38364-0_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077493176&doi=10.1007%2f978-3-030-38364-0_27&partnerID=40&md5=777dab7056919f3014d1e413cb13ddbe,"Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia","Dianita, O., Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Djorgie, T., Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia; Herliansyah, M.K., Universitas Gadjah Mada, Yogyakarta, 55281, Indonesia",Conference Paper,Final,,Scopus,2-s2.0-85077493176
"Benget V.V., Retnaningrum E.",57212607652;57190936609;,"Activities and molecular characterization of petroleum hydrocarbons degrading rhizobacteria from mangrove plants (Rhizophora sp.) in Kulon Progo, Yogyakarta, Indonesia",Biologi,2020,Biodiversitas,21,1,,21,27,,2,10.13057/biodiv/d210104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077200470&doi=10.13057%2fbiodiv%2fd210104&partnerID=40&md5=36c3312d47beb2e8edbbc2d8b0018801,"Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Microbiology Laboratory, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia","Benget, V.V., Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia; Retnaningrum, E., Microbiology Laboratory, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077200470
"Kandito A., Hartono S., Sulandari S.R.I., Somowiyarjo S., Widyasari Y.A.",57212610975;6507491139;6507892221;8928730000;57212609987;,First report of naturally occurring recombinant non-coding dna satellite associated with tomato yellow leaf curl kanchanaburi virus on eggplant in Indonesia,Pertanian,2020,Biodiversitas,21,1,,129,136,,,10.13057/biodiv/d210117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077183164&doi=10.13057%2fbiodiv%2fd210117&partnerID=40&md5=141093409fe56b8a5331f24346dbfa87,"Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia","Kandito, A., Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Hartono, S., Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Sulandari, S.R.I., Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Somowiyarjo, S., Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Widyasari, Y.A., Department of Plant Protection, Faculty of Agriculture, Universitas Gadjah Mada, Jl. Flora 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077183164
"Budiadi, Musyafa, Hardiwinoto S., Syahbudin A.",56630988700;34974513300;7801630417;57190939900;,"Changes in insect biodiversity on rehabilitation sites in the southern coastal areas of java island, indonesia",Kehutanan,2020,Biodiversitas,21,1,,1,7,,1,10.13057/biodiv/d210101,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077182046&doi=10.13057%2fbiodiv%2fd210101&partnerID=40&md5=a9798f4bd7d75a8befed6edc255fc419,"Department of Silviculture, Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia","Budiadi, Department of Silviculture, Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Musyafa, Department of Silviculture, Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Hardiwinoto, S., Department of Silviculture, Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia; Syahbudin, A., Department of Silviculture, Faculty of Forestry, Universitas Gadjah Mada, Jl. Agro No. 1, Bulaksumur, Sleman, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85077182046
"Arif A.A., An-Nizamiya A.D., Putri C., Nashrurrokhman M., Husna N., Mulyati, Hadisusanto S., Handayani N.S.N.",57212347380;57212345181;57212345682;57201780211;57195404720;57212349257;55340022900;8278047700;,Comparison between three molecular diagnostics for the identification of heterozygous hemoglobin E,Biologi,2020,Pakistan Journal of Biological Sciences,23,1,,17,26,,,10.3923/pjbs.2020.17.26,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076458899&doi=10.3923%2fpjbs.2020.17.26&partnerID=40&md5=fbbd1a17be8a808e8db44336adc6e0d7,"Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia","Arif, A.A., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; An-Nizamiya, A.D., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Putri, C., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Nashrurrokhman, M., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Husna, N., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Mulyati, Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Hadisusanto, S., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia; Handayani, N.S.N., Department of Tropical Biology, Faculty of Biology, Universitas Gadjah Mada, Jl. Teknika Selatan, Sekip Utara, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85076458899
Jiwa Utama T.S.,57211959223;,Impediments to Establishing Adat Villages: A Socio-Legal Examination of the Indonesian Village Law,Hukum,2020,Asia Pacific Journal of Anthropology,21,1,,17,33,,,10.1080/14442213.2019.1670240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075537226&doi=10.1080%2f14442213.2019.1670240&partnerID=40&md5=52af008a7498fe5cd74afe6e2d8c6067,"Faculty of Law, Gadjah Mada University, Yogyakarta, Indonesia","Jiwa Utama, T.S., Faculty of Law, Gadjah Mada University, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85075537226
"Makhmudi A., Supanji R., Putra B.P., Gunadi",56454436800;57211455066;57210205482;24337866800;,"The effect of APTR, Fn14 and CD133 expressions on liver fibrosis in biliary atresia patients",Kedokteran,2020,Pediatric Surgery International,36,1,,75,79,,1,10.1007/s00383-019-04582-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074013217&doi=10.1007%2fs00383-019-04582-2&partnerID=40&md5=424573d42cb3c24344413220fa419128,"Pediatric Surgery Division, Department of Surgery/Genetics Working Group, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada/Dr. Sardjito Hospital, Jl. Kesehatan No. 1, Yogyakarta, 55281, Indonesia","Makhmudi, A., Pediatric Surgery Division, Department of Surgery/Genetics Working Group, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada/Dr. Sardjito Hospital, Jl. Kesehatan No. 1, Yogyakarta, 55281, Indonesia; Supanji, R., Pediatric Surgery Division, Department of Surgery/Genetics Working Group, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada/Dr. Sardjito Hospital, Jl. Kesehatan No. 1, Yogyakarta, 55281, Indonesia; Putra, B.P., Pediatric Surgery Division, Department of Surgery/Genetics Working Group, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada/Dr. Sardjito Hospital, Jl. Kesehatan No. 1, Yogyakarta, 55281, Indonesia; Gunadi, Pediatric Surgery Division, Department of Surgery/Genetics Working Group, Faculty of Medicine, Public Health and Nursing, Universitas Gadjah Mada/Dr. Sardjito Hospital, Jl. Kesehatan No. 1, Yogyakarta, 55281, Indonesia",Article,Final,,Scopus,2-s2.0-85074013217
"Khandaq M.F., Harto A.W., Agung A.",57211365452;55330326200;8515528500;,Conceptual core design study for Indonesian Space Reactor (ISR),Teknik,2020,Progress in Nuclear Energy,118,,103109,,,,3,10.1016/j.pnucene.2019.103109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073648862&doi=10.1016%2fj.pnucene.2019.103109&partnerID=40&md5=03e1cacc83ab41882066ea457893d27b,"Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia","Khandaq, M.F., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Harto, A.W., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia; Agung, A., Department of Nuclear Engineering and Engineering Physics, Faculty of Engineering, Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85073648862
Widhiningsih D.F.,57211253877;,"Young farmers' motivation and participation in horticultural organic farming in Yogyakarta, Indonesia",Sekolah Pascasarjana,2020,International Journal of Social Ecology and Sustainable Development,11,1,,45,58,,,10.4018/IJSESD.2020010104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073146172&doi=10.4018%2fIJSESD.2020010104&partnerID=40&md5=ee18632e3346670e9bece30abae47efc,"Universitas Gadjah Mada, Yogyakarta, Indonesia","Widhiningsih, D.F., Universitas Gadjah Mada, Yogyakarta, Indonesia",Article,Final,,Scopus,2-s2.0-85073146172
"Afiahayati, Anarossi E., Yanuaryska R.D., Nuha F.U., Mulyana S.",55940697500;57207925440;54879370200;57205686182;57207940268;,Comet assay classification for buccal Mucosa’s DNA damage measurement with super tiny dataset using transfer learning,MIPA,2020,Studies in Computational Intelligence,830,,,279,289,,1,10.1007/978-3-030-14132-5_22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063288077&doi=10.1007%2f978-3-030-14132-5_22&partnerID=40&md5=f893ec677aa7e1e5164a6cfbda15b5df,"Department of Computer Science and Electronics, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Department of Radiology Dentomaxillofacial, Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia","Afiahayati, Department of Computer Science and Electronics, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Anarossi, E., Department of Computer Science and Electronics, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Yanuaryska, R.D., Department of Radiology Dentomaxillofacial, Faculty of Dentistry, Universitas Gadjah Mada, Yogyakarta, Indonesia; Nuha, F.U., Department of Computer Science and Electronics, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia; Mulyana, S., Department of Computer Science and Electronics, Faculty of Mathematics and Natural Sciences, Universitas Gadjah Mada, Yogyakarta, Indonesia",Book Chapter,Final,,Scopus,2-s2.0-85063288077
"Subroto E., Wisamputri M.F., Supriyanto, Utami T., Hidayat C.",57202188160;57202204004;57201451473;57193703827;6507266309;,Enzymatic and chemical synthesis of high mono- and diacylglycerol from palm stearin and olein blend at different type of reactor stirrers,Teknologi Pertanian,2020,Journal of the Saudi Society of Agricultural Sciences,19,1,,31,36,,5,10.1016/j.jssas.2018.05.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047411829&doi=10.1016%2fj.jssas.2018.05.003&partnerID=40&md5=5677902f5d939d2958b0227e515ac874,"Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia","Subroto, E., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia; Wisamputri, M.F., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia; Supriyanto, Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia; Utami, T., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia; Hidayat, C., Department of Food and Agricultural Product Technology, Faculty of Agricultural Technology, Universitas Gadjah Mada, Jl. Flora, Bulaksumur, Yogyakarta, 55281, Indonesia",Article,Final,Open Access,Scopus,2-s2.0-85047411829
